localization_key,English_reference,English_display
ph___henry_aha_toho_ja_zn_Xt45,"Christian of Pisek? I know him. If he's here, I want to talk to him!","Christian of Pisek? I know him. If he's here, I wanna talk to him!"
ph___henry_ja_a_jestli_va_i9MH,"Me. And if that's not enough for you, call your master. He'll straighten you up.","Me. And if that's not enough for you, call your master. He'll straighten you out."
ph___henry_mam_dulezitou__XRiI,I know the mint master rather well. I have an important meeting with him!,I know the Mint Master rather well. I have an important meeting with him!
ph___henry_prece_jasne_vi_kNnE,What are you on about? I can clearly see you two are not Vavak's men.,What are you on about? I can clearly see you two aren't Vavak's men.
ph___henry_tak_ven_s_tim__3Omo,"Come clean, who's back are you watching? Some thieves?","Come clean, whose back are you watching? Some thieves?"
ph___henry_vavakova_straz_gazD,"Vavak's guard wear his crest, a golden five-petalled rose on a blue field!","Vavak's guards wear his crest, a golden five-petalled rose on a blue field!"
ph___jindra_muzeme_jit_Cfx4,I hear we're supposed to go and mark the path for taking out the silver.,It appears we're supposed to go and mark the path for carrying out the silver.
ph___kristianu_a_jak_to_m_mMGK,"How could you possibly know, huh?","How could you possibly know, eh?"
ph___kristianu_hele_co_ta_ggwH,"Hey, what the hell are you staring at?","Hey, what the hell are you looking for?"
ph___kristianu_je_sam_kdy_ZU6Q,"Why not, let him go. He's alone, and if anything happens, we can just kick him out!","Why not let him go. He's alone, and if anything happens, we can just kick him out!"
ph___kristianu_jo_tak_ty__TsI0,"Oh, you know the mint master? Rubbish!","Oh, you know the Mint Master? Bollocks!"
ph___kristianu_no_jo_no_j_Zrv9,"Right, right. But if Christian kicks you out, don't even come near us.","Alright. But if Christian kicks you out, don't even come near us."
ph_b_bohuta_hazej_QpeR,"Actually, I'd say it was a success. But I wouldn't call it a clear-cut victory.","Actually, I'd say it was a success. But I wouldn't call it a clean victory."
ph_b_bohuta_npc_a_jo_kurwa_ik2Y,"You really know how to ruin a man's day, do you know that?","You really know how to spoil a man's day, don't you?"
ph_b_bohuta_npc_ale_co_ka_HBIZ,But so what? As if an ordinary soldier would have any business talking to a cardinal. In the worst case I'll tell him to fuck off. I remember that much in Italian.,But what of it? Like a common soldier would have any business talking to a cardinal. In the worst case I'll tell him to fuck off. I remember that much in Italian at least.
ph_b_bohuta_npc_je_to_mar_DgW0,"It's hopeless, friend. I practised with Brabant, but my memory's quite rusty.","It's an uphill struggle, son. I practised with Brabant, but my memory's not what it used to be."
ph_b_bohuta_npc_k_armade__Yhz5,He probably joined the army as a way to escape some kind of trouble. That's how most men ended up there.,He probably joined the army to get out of some spot of bother. That's how most of the men ended up there.
ph_b_bohuta_npc_padnul_na_FVik,He fell at the Battle of Kosovo. I was there…,He fell at the Battle of Kosovo. I was right there…
ph_b_bohuta_npc_spoliham__x6Bj,He'll have to. I'm relying on Latin. I studied that language much longer. But I don't know when the last time was I preached sober…,"He'll have to. I'm counting on my Latin, which I studied much longer. But I can't remember the last time I spoke it sober."
ph_b_bohuta_npc_vlach_kos_12GW,A Florentine. I met him amongst the mercenaries.I only know his name was Luca and he had a wife and daughter at home.,From a Florentine. I met him amongst the mercenaries. All I know about him is his name was Luca and he had a wife and daughter at home.
ph_b_bohuta_npc_vzdyt_ani_DWQ9,"There's no good time for it… I can't drink in the morning on an empty stomach and at night, I'd sleep it off.","There's not much chance for it… I can't drink in the morning on an empty stomach and if I drink in the evening, I'll sleep it off overnight."
ph_b_bohuta_uz_jsem_si_vz_iTZi,"I won't lie. There were moments when I was ready to meet my Maker, but in the end I was amazed how it rurned out.","I won't lie. There were moments when I was ready to meet my Maker, but in the end I was amazed how it turned out."
ph_b_brabant_buona_sera_s_WpXh,"!P Bouna sera, signori.","Buona sera, signori."
ph_b_brabant_co_to_mas_na_C0nv,You are supposed to escort me. So you'd better dress the part!,"You're supposed to be my escort, so you'd better dress the part!"
ph_b_brabant_kretene_kvul_edcK,!P Crétins! We will all die here this way!,Crétins ! We will all die here this way!
ph_b_brabant_madonna_mia_DVwG,!P Mon dieu!,Mon dieu !
ph_b_brabant_poslouchas_m_InbJ,"!P Are you listening? I said, buona sera!","Are you listening? I said, buona sera!"
ph_b_henry_a_co_se_s_nim__NLgy,What ended up happening to him?,How did he end up?
ph_b_henry_a_vedeli_jste__ZSRX,You've lived through more battles than I did. What do you think about Maleshov?,You've lived through more battles than I have. What do you think about Maleshov?
ph_b_henry_ale_nehodlas_s_u154,"You're not planning on drink before you meet, are you?","You're not planning on drinking before you meet him, are you?"
ph_b_henry_jak_se_tesis_n_OnKK,How are you looking forward to the negotiations with the legate? Have you brushed up on your Italian?,How are you looking forward to parleying with the legate? Have you brushed up on your Italian?
ph_b_henry_rikal_kristian_grJx,"Christian of Pisek says that the guards at the Court are commanded by a native Italian. If he sees through our little ruse, that's the end for us.","Christian of Pisek says the guards at the Court are commanded by a native Italian. If he sees through our little ruse, that's the end for us."
ph_b_komar_ja_taky_staci__Jyap,Me too. It's bad enough that I look like a pecker and now I'm supposed to talk like one too…,"Me too. Not only I have to dress like Italian kokotko, but blabber like one too!"
ph_b_komar_jebat_madonna__wpns,Hahahahahahhahahahhahahaha!,Heheheh!
ph_b_komar_odjebalo_ci_jnEL,!P Odjebalo ci?,Are you crazy?
ph_c_hynek_suc_neni_je_to_o6sc,"It isn't. He's a selfish bastard and always supports the side which benefits him the most. Honestly, that's what I like about him.","Not really. He's a selfish fucker who goes where the wind blows in his favour. Actually, I kind of like that about him."
ph_c_hynek_suc_takze_myho_QNcM,"So, if you ask me, it went swimmingly.","So, if you ask me, it went nice and peacefully…"
ph_h_event_pra_a_jeste_ke_T7Wp,And what did he do then? He swanned off down the road and tried to flog it all!,And what did he do then? He went down the road and tried to flog it all!
ph_h_event_pra_nebudte_ja_0OrH,But his luck was out. One merchant could tell it was stolen goods and reported the thief straightaway!,But his luck was out. One merchant could tell the goods were stolen and reported him straightaway!
ph_h_event_pra_penize_spe_u9rX,"Coin, jewellery, silver goblets, two pairs of shoes, a sack of carrots and one almost-new jacket!","Coin, jewellery, silver goblets, two pairs of shoes, a sack of carrots and a nearly new jacket!"
ph_h_event_pra_servus_vw04,"And before this smart-arse knew what hit him, he was in irons. And you can see the outcome for yourselves!","And before he knew it, he was in irons. And you can see the outcome for yourselves!"
ph_j_brabant_bud_snis_pol_BAtW,Either eat the soup or jump out of the window.,"Either you eat the soup, or you jump out of the window."
ph_j_brabant_buona_sera_s_f2Wv,"!P Buona sera, signori.","Buona sera, signori."
ph_j_brabant_dlouha_uplne_2kyF,"!P Fatta la legge, trovato l'inganno.","Fatta la legge, trovato l'inganno."
ph_j_brabant_dlouha_uplne_DQig,!P O mangi la minestra o salti dalla finestra.,O mangi la minestra o salti dalla finestra.
ph_j_brabant_dlouha_uplne_H76O,!P Sei proprio un baccalá!,Sei proprio un baccalá!
ph_j_brabant_dobry_a_ted__DAvv,That was not bad. And now Adder.,"Hmm, that will do. Adder?"
ph_j_brabant_ech_no_jdeme_Jiqc,"If I didn't know any better, I'd think you were about to eat me!","If I didn't know, I think you want to eat me!"
ph_j_brabant_jestli_se_bu_25lR,"If you are somewhere where you should not be and you get caught, you will need an explanation.","If you're somewhere where you should not be and you get caught, you will need an explanation."
ph_j_brabant_mohlo_by_se__QB0T,I was hoping it was really about soup.,"Ach, I like it more with the soup…"
ph_j_brabant_molte_grazie_MAc1,!P Molte grazie!,Molte grazie!
ph_j_brabant_mon_dieu_to__dqxU,"!P Mon dieu, this is not 'something in Italian'! I am trying to convey to you the essence of the Italian tongue in a few sentences.","Mon dieu, this is not 'something in Italian'! I am trying to convey to you the essence of the Italian tongue in a few sentences."
ph_j_brabant_nene_spatne__YKJo,"No, you are not listening. Once more.","No, you're not listening. Once more."
ph_j_brabant_no_dobre_zac_kfA4,"Alright. We will start with a greeting, which you will need as soon as you arrive. Repeat after me…","Very well. We will start with a greeting, which you will need as soon as you arrive. Repeat after me…"
ph_j_brabant_pani_roza_ti_SZwO,"Mademoiselle Rosa will give you some clothes to change into. When you look the part, go and see Godwin.","Mam'selle Rosa will give you some clothes to change into. When you look the part, go and see Godwin."
ph_j_brabant_scusi_mi_son_tApF,!P Scusi! Mi sono perso.,Scusi! Mi sono perso.
ph_j_brabant_spravne_VOMd,!P Parfait!,Parfait !
ph_j_brabant_tohle_je_uzi_1GX3,"!P Any more, and you would get all mixed up. And if you are in a tight spot, leave it to me, oui?","Any more, and you would get all mixed up. And if you're in a tight spot, leave it to me, d'accord?"
ph_j_brabant_ts_tohle_sly_QchR,"It is an expression. Loosely translated it means 'Play by the rules, or do not play at all.'","It is an expression. Loosely translated it means 'Play by the rules, or don't play at all.'"
ph_j_event_pra_jasne_dele_Ks4K,Watch out you don't end up here too!,So you don't end up here too!
ph_j_event_pra_jo_svedi_m_U9dB,"Sod my back, I can hardly feel it now anyway, but some joker recently went past and put a dead fish in my breeches.","Fuck my back, I can hardly feel it anymore, but recently some joker passed by and put a dead fish in my breeches."
ph_j_event_pra_tak_zdrhnu_H6Qq,"I'll scarper, obviously.","I'd scarper, obviously."
ph_j_hans_uher_buona_sera_AWAG,"!P Buona sera, signori.","Buona sera, signori."
ph_j_hans_uher_fatta_la_l_xXvV,"!P Fatta la legge, trovato l'inganno.","Fatta la legge, trovato l'inganno."
ph_j_hans_uher_kurva_chce_H4ey,Kurva. I want to piss him off and he praises me instead…,Kurva! I try to fuck with him and he praise me instead!
ph_j_hans_uher_molte_graz_PW0w,!P Molte grazie!,Molte grazie!
ph_j_hans_uher_no_to_ses__NBQ0,"Great! If a real Italian hears you, he'll bleed out his ears!","Perfect! You meet some Italian, you make him bleed out of ears!"
ph_j_hans_uher_o_mangi_la_34NY,!P O mangi la minestra o salti dalla finestra.,O mangi la minestra o salti dalla finestra.
ph_j_hans_uher_scusi_mi_s_szvi,!P Scusi! !P Mi sono perso!,Scusi! Mi sono perso!
ph_j_hans_uher_sei_un_pro_GAnB,!P Sei proprio un baccalá!,Sei proprio un baccalá!
ph_j_hans_uher_stejne_by__fJPR,"Whatever, it would still sound like a goat pissing on a drum skin.","You know, that sounds like goat pissing on a drum."
ph_j_hans_uher_zni_to_jak_0yki,"That sounds like baby talk! boo-boo, choo-choo, poo-poo…","It sound like baby - mama, pee-pee, poo-poo."
ph_j_henry_a_skoncilo_to__9zs3,... And then it descended into a massive brawl.,... And it all ended in a massive brawl.
ph_j_henry_ale_vazne_dole_LVHU,I did. Seriously. I topped up his wine for him as I eavesdropped on a town council meeting!,I did. Seriously. I poured him wine while I was eavesdropping on a town council meeting!
ph_j_henry_bona_serra_sin_znnN,"!P Bona serra, sinori.","Bona serra, sinori."
ph_j_henry_branil_jsem_tv_nRps,I defended a stronghold in battle. We had to retreat to a tower and hope to negotiate our way out.,I defended a fortress in battle. We had to retreat to a tower and hope to parley our way out.
ph_j_henry_buona_sera_sig_zfHZ,"!P Buona sera, signori.","Buona sera, signori."
ph_j_henry_byl_jsem_na_du_F2II,Once I was on an important journey with my master when we were ambushed. Nearly cost us our lives.,"Not long ago, I was on an important journey with my lord when we were ambushed. We only escaped by the skin of our teeth."
ph_j_henry_byl_jsem_na_sv_CM2K,"I was at the wedding of the young lord of Semin. Wine was flowing freely, there was dancing...","I was at the wedding of the young Lord of Semine. The wine flowed freely, there was dancing..."
ph_j_henry_byl_jsem_se_po_qgY7,"I met this scholar, a foreigner from a very distant land, he was.","I met this scholar, a foreigner from a very distant land."
ph_j_henry_byl_jsem_v_kut_yUbf,"I was in Kuttenberg when the pogrom erupted. The mob ran wild. I saw them looting, destroying, slaughtering...","I was in Kuttenberg when the attack on the Jewish people erupted. The mob was running rampage, looting, destroying, slaughtering..."
ph_j_henry_chtel_jsem_to__bzy6,"I wanted to investigate, and he seemed like someone who knew his stuff.","I looked into it, and it seemed to me like it was someone who knew his stuff."
ph_j_henry_je_to_slozita__1Xs0,"I won't go into all the ins and outs, but we escaped in the end. And the man behind our torture got his comeuppance.","I won't go into all the ins and outs, but we escaped in the end. And the bastard who had us tortured got his comeuppance."
ph_j_henry_jen_v_hadrech__8Vap,They took everything but the clothes off our backs... Everyone thought we were beggars and vagabonds.,"Lost everything, including the clothes on our backs…! Then veryone took us for beggars and vagabonds."
ph_j_henry_molte_grazie_cpqE,!P Molte grazie.,Molte grazie.
ph_j_henry_molto_grazio_iMIg,!P Molto grazio…?,Molto grazio…?
ph_j_henry_myho_pana_chte_yKCD,They wanted to execute my master at Trosky. I did all I could to keep that from happening.,They wanted to execute my master at Trosky. I did all I could to keep it from happening.
ph_j_henry_namoudusi_sede_kWkM,"I swear. We were sat having a beer, but he never touched a drop!","No, I swear. We were sitting having a beer, but he never touched a drop!"
ph_j_henry_naucil_jsem_se_oflH,I learnt how to shoot a handgonne. And straight after got to use one in battle...,I learnt how to shoot a hand cannon. And right away I got to use one in battle...
ph_j_henry_naucis_me_to_t_WhaX,Can you teach me some Italian?,Can you teach me something in Italian?
ph_j_henry_nedavno_jsem_n_qmoy,I was looking for someone in Kuttenberg not long ago. It wasn't easy because he was there undercover.,"I was looking for someone in Kuttenberg not long ago. It wasn't easy, since he was there undercover."
ph_j_henry_nerikam_ze_to__OfQj,"Oh, no, much further away. Said he was from Mali, something like that. People there are dark-skinned. And they worship a different god.","No no, much further. He said he was from a place called Mali. The people there are dark-skinned. And they worship a different god."
ph_j_henry_netusil_bys_ko_WJfH,"It knackered me out, though! You have no idea how much meat and drink those councillors can scoff.","And I worked up quite a sweat, I'll tell you. You've no idea how much meat and drink those aldermen can scoff."
ph_j_henry_no_mysleli_jsm_ejZ1,But then we noticed the cannon. They aimed it right at the tower... and BOOM!,But then we noticed this cannon. They aimed it right at the tower... and BOOM!
ph_j_henry_no_nejdriv_se__xWf7,"Well, my first kill was accidental, a horse. But I soon got a lot better at it.","Well, my first kill was accidental - a horse. But I soon got a lot better at it."
ph_j_henry_nuda_co_EaFn,How's it going? I bet that's not too comfy for your back…,How's it going? I expect that's not very comfortable on your back…
ph_j_henry_pomohl_jsem_ji_XR2e,"There was a matter I assisted them with. And now they've returned the favour. There may only be two of them, but they are powerful and influential allies.","There was a matter I assisted them with. And now they've returned the favour. There may only be two of them, but they're still powerful and influential allies."
ph_j_henry_popravu_prerus_euz6,"If it hadn't been for the arrival of Otto von Bergow, the castle lord, my master would have perished and his uncle would have killed me with his own hands.","If the lord of the castle, Otto von Bergow, hadn't turned up at the last moment, my master would have hanged and his uncle would have killed me with his own hands."
ph_j_henry_scuse_me_sono__p93b,"!P Scuse, me sono parso.","Scuse, me sono parso."
ph_j_henry_scusi_mi_sono__DzfR,!P Scusi! !P Mi sono perso.,Scusi! Mi sono perso.
ph_j_henry_spatna_odpoved_FD29,!P O mangio la ministra o salto della finistra…?,O mangio la ministra o salto della finistra…?
ph_j_henry_spatna_odpoved_cGRo,"!P Fatte la legga, travoto l'ignano.","Fatte la legga, travoto l'ignano."
ph_j_henry_spravna_odpoved_61pk,!P Sei proprio un baccalá?,Sei proprio un baccalá?
ph_j_henry_spravna_odpoved_hPmS,!P O mangi la minestra o salti dalla finestra…?,O mangi la minestra o salti dalla finestra…?
ph_j_henry_spravna_odpoved_l80U,"!P Fatta la legge, trovato l'inganno.","Fatta la legge, trovato l'inganno."
ph_j_henry_sptana_odpoved_cVs1,"!P Si, proprio un bacchiala!","Si, proprio un bacchiala!"
ph_j_henry_tohle_neni_spr_FCMi,This ain't right. I should stay here.,This isn't right. I should stay here.
ph_j_komar_a_k_cemu_nam_t_7dq0,!P To również kompletna bzdura!,That's a load of nonsense too!
ph_j_komar_buona_sera_sin_9N5C,!P Buoona seera signoory!,Buoona seera signoory!
ph_j_komar_co_je_to_za_vo_uVFn,!P Co to za bzdury? !P Nie nauczę się tego gówna!,What kind of babble is that? I won't learn this shit!
ph_j_komar_drz_picu_nebo__xioP,Zamknij ryj! Albo odgryzę ci rękę!!,Shut up! Or I'll bite your hand off!!
ph_j_komar_jebat_na_vas_v_UfN3,"!P Sam jesteś bakłażan, dupku!","You're a bachelor yourself, fool!"
ph_j_komar_morte_grazyje_4zMl,!P Morte graaziee!,Morte graaziee!
ph_j_komar_no_co_je_to_ja_hihw,"!P To dlatego, że mówisz jak idiota!",It's because you talk like an idiot!
ph_j_komar_skuzy_my_sono__Pbgj,"!P Scuusi, mi soono perzo.","Scuusi, mi soono perzo."
ph_j_komar_to_je_ale_krav_KD9N,"Jamże jest Polak! Nie chcę udawać kogoś innego, zwłaszcza nie Wołoszyna!",I'm a Pole! I'm not going to pretend to be someone else. Especially not some Italian!
ph_j_ultimate__a_jak_to_d_1rzO,And where did that get you?,And how did it end up?
ph_j_ultimate__a_to_te_ta_xRA7,You mean like... from France? Or all the way from Rome?,Like... from France? Or all the way from Rome?
ph_j_ultimate__at_me_husa_ES6g,My word! Sounds like you have a rare skill set indeed.,My word! That's not something many can boast of!
ph_j_ultimate__bez_par_vy_B3F5,It's not a proper wedding unless someone loses a few teeth. You need cuts and bruises to put on a decent show for everyone else.,It ain't no proper wedding unless someone loses a few teeth. Putting on a decent show for everyone is worth a bruise or two.
ph_j_ultimate__dalsi_doby_qhLr,Another conquest?,Another siege?
ph_j_ultimate__dobre_mu_t_Pjt2,"Serves him right. Torture is always abhorrent, but on innocents? It's a monstrosity...","Serves him right! Torture is always a horrible thing, but on innocents? That's monstrous..."
ph_j_ultimate__kdyby_se_l_ikYd,And then rumours spread that the Jews set the synagogue on fire themselves... I wish people would just admit to these atrocities.,"And then there's rumours that it was the Jews that set the synagogue on fire themselves... If them ""good citizens"" would at least admit to their brutality, well..."
ph_j_ultimate__mne_ty_fli_rj6r,"Those guns are a hell of a dangerous contraption, if you ask me. Whatever will they come up with next...","Those firearms are a hell of a dangerous contraption, if you ask me. Whatever will they come up with next..."
ph_j_ultimate__nedivil_by_Nv7h,"I wouldn't be surprised if that hunch turned out to be true. Nowadays, anyone honest is considered an idiot.","I wouldn't be surprised if that hunch turned out to be true. Nowadays, an honest man is regarded as an idiot."
ph_j_ultimate__pani_bejt__HeTK,"Oh, lordy. If I were you, I'd light a candle in the nearest church to thank the saints for watching over you!","Christ above! If I was you, I'd light a candle in the nearest church to thank the saints for watching over you!"
ph_j_ultimate__pani_do_ce_SyDm,Many a man claims to have been wrongly imprisoned. But what on earth did you get yourself into?,"They say you'll never find a guilty man in jail, heheh! So what was it they pinned on you?"
ph_j_ultimate__sice_neni__AKX5,"Christian of Písek? My word! He may not command the respect of a Münzmeister, but his job is no less important.","Christian of Pisek? My word! He may not command the respect of a the mince master, but his job is no less important."
ph_j_ultimate__slysel_jse_HiBQ,"I heard about it... The synagogue burnt down, a lot of those people died.","I heard about it... The synagogue burnt down, a lot of them people died."
ph_j_ultimate__tak_se_mi__zc0m,"If you ask me, soon there won't be a building round here that hasn't forcibly changed hands recently...","If you ask me, soon there won't be a building in these parts that hasn't changed hands by force..."
ph_j_ultimate__ted_si_ze__Td3l,"You're pulling my leg, aren't you?",You're yanking my pizzle!
ph_j_ultimate__to_jiste_j_yXal,They certainly are. But so are their enemies.,No doubt they are. But so are their enemies.
ph_j_ultimate__to_jste_me_i7i7,And does Lord Bergow know he saved more than one life? You have a debt of gratitude to him.,And does Lord von Bergow know he saved more than one life? You have a debt of gratitude to him.
ph_j_ultimate__vyjimka_ne_hpOr,"The exception does not prove the rule. If I were you, I'd give that quarter a wide berth next time.","The exception doesn't prove the rule. If I was you, I'd give that quarter a wide berth next time."
ph_k_event_pra_pff_kecy_hKhT,Pfft… Bollocks.,Pfft… Bullshit.
ph_k_henry_neco_se_ti_na__EP4s,You don't like something about the plan?,Is there something you don't like about the plan?
ph_k_katerina_a_co_syn_xsP0,Of course. But I don't even have the strength to shake my head anymore.,Of course. But I don't even have the will to shake my head anymore.
ph_k_katerina_ale_to_on_t_lxaM,And what reason did you think of?,And what did you come up with?
ph_k_katerina_nejdriv_dot_k4IL,"First you bring von Bergow in here in shackles, then you let him whisper in your ears how to outsmart the king.","First you bring von Bergow here in shackles, then you let him put a flea in your ears about how to outsmart the king!"
ph_k_katerina_ze_nezda_vy_vGen,Don't like? You're crazy!,Don't like? You lot have gone mad!
ph_k_kristianu_dej_si_odc_KsaM,Take a hike.,Bugger off!
ph_k_kristianu_moc_se_tu__63BM,Mind your own business.,Keep your nose to yourself.
ph_k_kristianu_sem_nikdo__tGUI,Away with you!,Stop gaping and clear off!
ph_k_kristianu_vstup_zaka_plLZ,No entry.,No entry here.
ph_l_legatuv_m_figlio_di__GYqx,!P Figlio di puttana!,Figlio di puttana!
ph_l_legatuv_m_piu_veloce_Sger,!P Piú veloce!,Piú veloce!
ph_l_legatuv_m_sparare_c3xg,!P Sparare!,Spara!
ph_l_legatuv_m_stai_atten_UcKE,!P Stai attento!,Stai attento!
ph_l_legatuv_m_ti_uccidero_uQL8,!P Ti uccideró!,Ti uccideró!
ph_o_henry_doufam_ze_o_ni_E7h9,"I hope she has been treated well. As you say, she is Ruthard's daughter and heiress.","I hope she's been treated well. As you say, she is Ruthard's daughter and heiress."
ph_o_henry_sam_jsi_videl__2THE,"You know how many of us there were. We had to lure some of the defenders out, otherwise you would've crushed us before we even reached the wall.","You know how many of us there were. We had to lure some of the defenders out, otherwise you would've crushed us before we even reached the walls."
ph_o_henry_zkusil_jsem_to_10MI,"I tried to explain it to the Devil first and when he didn't get it, we drew our swords. He won…","I tried to explain it to the Devil first and when he didn't get it, we drew our swords. And he won…"
ph_o_ota_z_ber_a_cim_dele_VD4h,"The longer you are under the influence of Jan Zizka and Hynek of Kunstadt, the more likely you will be seen as a murderer…","The longer you are under the influence of Jan Zizka and Hynek of Kunstadt, the more you will be seen as a murderer…"
ph_o_ota_z_ber_a_jak_to_d_ubii,"But it turned out well. I made it our alive, Rosa is looking forward to reuniting with her father and you are looking forward to the contents of royal treasury.","But it turned out well. I made it out alive, Rosa can look forward to a reunion with her father, and you to the contents of the royal treasury."
ph_o_ota_z_ber_budou_z_va_gDP0,"They will hunt you like pests, and my so-called treason will be the least of their concerns for quite a while.","They will hunt you like vermin, and my so-called betrayal will be the least of their concerns for quite a while."
ph_o_ota_z_ber_ja_tomu_ro_eYNf,"I'm not saying I don't understand your reasons, but still...","I cannot deny that I understand your reasons, but still..."
ph_o_ota_z_ber_jsem_vase__3eKc,I am your hostage. I appreciate being treated well and I do not hesitate to reciprocate. That's all.,I am your hostage. I appreciate being treated well and I don't hesitate to reciprocate. That is all.
ph_o_ota_z_ber_kde_kdo_hl_oYLc,Many people in Kuttenberg were looking for a way to blackmail or at least humiliate Ruthard.,There were many in Kuttenberg looking for a way to blackmail or at least humiliate Ruthard.
ph_o_ota_z_ber_mas_kuraz__R1zZ,You have courage. And compassion. But that might be a detriment among people like Hynek of Kunstadt or Zizka.,You have courage. And compassion. But that might be more to the detriment with people like Hynek of Kunstadt and Zizka.
ph_o_ota_z_ber_navic_je_p_FrsH,"Moreover, that Ruthard girl is a remarkable young lady. Despite the apparent aloofness on her part, I must say I was quite charmed by her.","Moreover, that Ruthard girl is a remarkable young lady. Despite her apparent aloofness, I must say I was quite charmed by her."
ph_o_ota_z_ber_nemej_obav_edmM,Do not worry. I personally made sure she never wanted for anything.,Don't worry. I personally made sure she never wanted for anything.
ph_o_ota_z_ber_pohov_ryti_oOqc,"Calm down, Sir knight. I took her to Maleshov to make sure nobody would hurt her.","Calm down, Sir Knight. I took her to Maleshov to make sure nobody would hurt her."
ph_o_ota_z_ber_predstav_s_4Q5d,"Imagine that, I do not like unnecessary violence. Especially violence against women and girls.",Can you imagine? I don't like unnecessary violence. Especially violence against the fair sex.
ph_o_ota_z_ber_taky_se_mi_vC8K,I abhor the killing of innocents and the burning of villages even more. Do you blame me?,I abhor the killing of innocents and the burning of villages even more. Do you blame me for something?
ph_o_ota_z_ber_uhoret_na__wmya,"Burning to death in Ruthard's fortress along with his daughter, as you have suggested, was not very appealing.","Burning to death in Ruthard's fortress along with his daughter, as you suggested, was not very appealing."
ph_o_ota_z_ber_vim_zvesti_GUBx,If your aunt had bollocks she'd be your uncle. You clearly didn't try too hard to stop it.,"If, if… You clearly did not try too hard to prevent it."
ph_p_bohuta_npc_ale_slusi_QMri,"But I look good like this, don’t I?","But it suits me though, don't you think?"
ph_p_bohuta_npc_hehe_Tg69,Hrrmff!,Hmph!
ph_p_bohuta_npc_jednu_byc_uHVG,"I'd like to punch you in the face! But hell, your face is already ugly enough.",I'd like to punch you in the face! But the way you look is punishment enough!
ph_p_bohuta_npc_no_do_prd_SBIo,Shit then. Who the hell is supposed to know how it goes? Fuck! Now I'll have to take off all these layers again.,"Ah, shit! How the hell can anyone know how it should be? Fuck! Now I'll have to take off all these layers again."
ph_p_hans_uher_e_jen_rika_UkV4,Aaah… He was just saying that she's a… Very respectable lady. That's all.,Ehh? He just say she is… very fine lady. No more!
ph_p_hans_uher_je_to_ruth_nFfe,"That's Ruthard's daughter, you lecher. She's not a hostage, she's our ally!","She Ruthard's daughter, you pig. No hostage, she on our side!"
ph_p_henry_ale_co_by_z_to_PBwr,But what would von Bergow stand to gain should Sigismund return to Hungary?,But what would von Bergow stand to gain if Sigismund returned to Hungary?
ph_p_henry_asi_chtel_na_b_WXDT,"As we could see, von Bergow was impressed.",But it clearly made an impression on von Bergow.
ph_p_henry_cert_je_prece__SCBj,So are they.,They're nobles too.
ph_p_henry_drz_hubu_4smS,Oh shut up…,Oh shut up!
ph_p_henry_eh_proc_jsem_n_rsHq,Can't you yell any louder? I think the other side of the town might not heard you.,Can't you yell any louder? Some people at the other end of town might not have heard you.
ph_p_henry_je_hezka_ale_n_qMIf,"She's pretty, but that's all there's to it…","She is pretty, but that's all there's to it…"
ph_p_henry_jen_pockej_jes_f4ul,Just you wait. The real chaos will only erupt after we pull off the burglary.,Just you wait. The real trouble will only erupt after we pull off that robbery.
ph_p_henry_jen_zatni_zuby_9Kcr,"Just hang on, m'lady, we're almost there.","Just grin and bear it, M'Lady. We're almost there."
ph_p_henry_me_to_nikdo_ne_rePZ,Don't complain! No one taught me how to do it.,Don't complain! No one ever taught me how to do it.
ph_p_henry_nebud_zvedavej_Zn2Y,You know curiosity killed the cat…,You know curiosity killed the cat?
ph_p_henry_nevim_o_cem_ml_5EfB,What are you blabbering about?,What are you on about?
ph_p_henry_no_a_k_cemu_mi_mIRd,"Well, and what good did that do…",For all the good that did…
ph_p_henry_polovina_zizko_thwz,I think we deserve at least a small share for risking our necks all the time.,I think we deserve at least a small share for risking our necks all this time.
ph_p_henry_roza_zrovna_ne_TFTS,I wasn't thinking about Rosa.,I wasn't talking about Rosa.
ph_p_henry_slechtic_a_bra_hD0C,A nobleman and a filthy peasant? Brothers? Impossible.,A nobleman and a dung-grubber? Brothers? Impossible.
ph_p_henry_to_ne_ale_nech_TiJ1,"No, but I don't want to leave Rosa and Katherine alone… With Brabant.","No, but I don't want to leave Rosa and Katherine alone… with Brabant."
ph_p_henry_v_kutny_hore_m_VXfg,"Maybe in Kuttenberg it isn't, but it was in Skalitz!","Maybe not in Kuttenberg, but it's how we did it in Skalitz!"
ph_p_henry_zide_by_si_zas_0zr0,Samuel's people were hiding Liechtenstein and we conquered Maleshov thanks to their money.,Samuel's people were hiding Liechtenstein and we also took Maleshov due to their coin.
ph_p_komar_tim_lip_nemusi_58jB,"All the better! We are her saviours. If she's well-bred, she should repay us all. Or at least me!","All the better! We're her saviours. If she's well-bred, she should repay us all."
ph_p_petr_z_pi_bohuzel_al_tUgW,The king's position in the country is even more precarious than we thought. And his allies are leaving him as fast as they can.,The king's position in the country is even more precarious than we thought. And his allies are leaving him in ever greater numbers.
ph_p_petr_z_pi_budete_pot_DcYZ,You will need lots of luck… But I think it could work.,You'll need a big dose of luck… But I think it might just work.
