localization_key,English_reference,Chineses_display,Chineset_display,Czech_display,English_display,French_display,German_display,Italian_display,Japanese_display,Korean_display,Polish_display,Portuguese_display,Russian_display,Spanish_display,Turkish_display,Ukrainian_display,Vietnamese_display
kuma_opily_kum_valoszinul_eRUF,"Valószínűleg vissza kellene mennem a táborba, de holnap? Itt?","Jobb lenne, ha visszamennék a táborba, de holnap? Itt?（我要回营地了，明天在这里见面如何？）","Jobb lenne, ha visszamennék a táborba, de holnap? Itt?（我該回營地了，明天在這裡碰面怎麼樣？）","Jobb lenne, ha visszamennék a táborba, de holnap? Itt?","Jobb lenne, ha visszamennék a táborba, de holnap? Itt?","Jobb lenne, ha visszamennék a táborba, de holnap? Itt?","Jobb lenne, ha visszamennék a táborba, de holnap? Itt?","Jobb lenne, ha visszamennék a táborba, de holnap? Itt?",（野営地に戻らないと  でも明日はどうだ？<br/>またここで）,"Jobb lenne, ha visszamennék a táborba, de holnap? Itt?","Jobb lenne, ha visszamennék a táborba, de holnap? Itt?","Jobb lenne, ha visszamennék a táborba, de holnap? Itt?","Jobb lenne, ha visszamennék a táborba, de holnap? Itt?","Jobb lenne, ha visszamennék a táborba, ¿de holnap? ¿Itt?","Jobb lenne, ha visszamennék a táborba, de holnap? Itt?","Jobb lenne, ha visszamennék a táborba, de holnap? Itt?","Jobb lenne, ha visszamennék a táborba, de holnap? Itt?"
npc__npc_reagu_jdu_se_rad_pyYp,I'd better go and look.,Jobb lesz ha megyek és megnézem.,Jobb lesz ha megyek és megnézem.,Jobb lesz ha megyek és megnézem.,Jobb lesz ha megyek és megnézem.,Jobb lesz ha megyek és megnézem.,Jobb lesz ha megyek és megnézem.,Jobb lesz ha megyek és megnézem.,Jobb lesz ha megyek és megnézem.,Jobb lesz ha megyek és megnézem.,Jobb lesz ha megyek és megnézem.,Job lesz ha megyek és megnézem.,Jobb lesz ha megyek és megnézem.,Jobb lesz ha megyek és megnézem.,Jobb lesz ha megyek és megnézem.,Jobb lesz ha megyek és megnézem.,Jobb lesz ha megyek és megnézem.
npc__npc_reagu_jen_at_tah_NNia,It had better sod off.,"Jobb, ha elmegy.","Jobb, ha elmegy.","Jobb, ha elmegy.","Jobb, ha elmegy.","Jobb, ha elmegy.","Jobb, ha elmegy.","Jobb, ha elmegy.","Jobb, ha elmegy.","Jobb, ha elmegy.","Jobb, ha elmegy.","Jobb, ha elmegy.","Jobb, ha elmegy.","Jobb, ha elmegy.","Jobb, ha elmegy.","Jobb, ha elmegy.","Jobb, ha elmegy."
poly_kuman_u_s_jobb_ha_me_9zrH,"!P Jobb, ha megyünk, vagy megütöm.","Jobb, ha megyünk, vagy megütöm.（还是快走吧，不然我的拳头就不听使唤了。）","Jobb, ha megyünk, vagy megütöm.（我們還是快點走吧，免得我朝他臉上揍一拳。）","Jobb, ha megyünk, vagy leütöm.","Jobb, ha megyünk, vagy megütöm.","Jobb, ha megyünk, vagy megütöm.","Jobb, ha megyünk, vagy megütöm.","Jobb, ha megyünk, vagy megütöm.",（もう行こう  さもないと殴るぞ）,"Jobb, ha megyünk, vagy megütöm.","Jobb, ha megyünk, vagy megütöm.","Jobb, ha megyünk, vagy megütöm.","Jobb, ha megyünk, vagy megütöm.","Jobb, ha megyünk, vagy megütöm.","Jobb, ha megyünk, vagy megütöm.","Jobb, ha megyünk, vagy megütöm.","Jobb, ha megyünk, vagy megütöm."
reak_kutnohors_johan_johan_vvST,Johann! Johann!,约翰！约翰！,約翰！約翰！,Johan! Johan!,Johann! Johann!,Johann ! Johann !,Johann! Johann!,Johann! Johann!,ヨハン！  ヨハン！,요한! 요한!,Jan! Jan!,Johann! Johann!,Йохан! Йохан!,¡Johan! ¡Johan!,Johann! Johann!,Йоган! Йоган!,Johann! Johann!
turn_kutnohors_joo_pekne__kikP,,Joo! Pěkně na kurzkampf!,Joo! Pěkně na kurzkampf!,Joo! Pěkně na kurzkampf!,Joo! Pěkně na kurzkampf!,Joo! Pěkně na kurzkampf!,Joo! Pěkně na kurzkampf!,Joo! Pěkně na kurzkampf!,Joo! Pěkně na kurzkampf!,Joo! Pěkně na kurzkampf!,Joo! Pěkně na kurzkampf!,Joo! Pěkně na kurzkampf!,Joo! Pěkně na kurzkampf!,Joo! Pěkně na kurzkampf!,Joo! Pěkně na kurzkampf!,Joo! Pěkně na kurzkampf!,Joo! Pěkně na kurzkampf!
opon_kuman_kom_hahaha_ej__EovZ,Juhééé! Elkaptam!,Juhééé! Elkaptam!,Juhééé! Elkaptam!,Juhééé! Elkaptam!,Juhééé! Elkaptam!,Juhééé! Elkaptam!,Juhééé! Elkaptam!,Juhééé! Elkaptam!,Juhééé! Elkaptam!,Juhééé! Elkaptam!,Juhééé! Elkaptam!,Juhééé! Elkaptam!,Juhééé! Elkaptam!,Juhééé! Elkaptam!,Juhééé! Elkaptam!,Juhééé! Elkaptam!,Juhééé! Elkaptam!
npc__kuman_se__eja_bitka_nzW4,"Juhééé, csata van!","Juhééé, csata van!","Juhééé, csata van!","Juhééé, csata van!","Juhééé, csata van!","Juhééé, csata van!","Juhééé, csata van!","Juhééé, csata van!","Juhééé, csata van!","Juhééé, csata van!","Juhééé, csata van!","Juhééé, csata van!","Juhééé, csata van!","Juhééé, csata van!","Juhééé, csata van!","Juhééé, csata van!","Juhééé, csata van!"
hrac_henry_hoch_jako_ich_NREt,Jump so hoch wie Ich!,Jump so hoch wie Ich（跳的和我一样高）!,Jump so hoch wie Ich（跳得和我一樣高）！,Vysoký jako Ich!,Jump so hoch wie Ich!,Sautez aussi haut que moi !,Spring so hoch wie ich!,"Salta, so hoch wie Ich! Salta in alto!",Jump so hoch wie Ich!,Jump so hoch wie Ich!,Skacz hoch wie Ich!,Salte tão hoch wie Ich!,Прыгай so hoch wie ich!,¡Saltad so hoch wie Ich!,Zıpla so hoch wie Ich!,Ходи so hoch wie Ich!,Jump so hoch wie Ich!
eich_cechmistr_junger_tsi_EDC6,!P Junger Chipper!,Junger（年轻的）活宝！,Junger Frisky（小潑猴）！,Junger Tsipera!,Junger Frisky!,Junger Folâtre !,Martins Erbe!,Junger Vispo!,!P Junger Frisky!,Junger 장난꾼!,Junger Żwawy!,Junger Folgazão!,Junger Шалун!,¡Junger Vivaracho!,Junger Oyuncu!,Junger Паливода!,Tiểu Tăng Động!
lore_brabant_presne_jak_t_iMtq,"Just as Sir Hans says, Audantes Fortuna Iuvat! That day I was the bravest of them all and won the day!","正如沙蓬先生所说，""Audentes Fortuna Iuvat""（天助勇者）！那一天，我就是最勇敢的人，我赢得了胜利！",誠如Monsieur Chapon（卡彭先生）所說，Audentes Fortuna iuvat（幸運女神眷顧勇者）！那天我是至勇之人，因此我成了英雄！,"Přesně jak říká pan Ptáček, Audentes Fortuna Iuvat! Ten den jsem byl nejodvážnější ze všech a přinesl vítězství!","Just as Monsieur Chapon says, Audentes Fortuna Iuvat! That day I was the bravest of them all and won the day!","Comme le dit monsieur Chapon, Audentes Fortuna Iuvat ! J'ai été le plus hardi de tous et j'ai vaincu !","Wie sagt Monsieur Capon immer, audentes fortuna iuvat! An diesem Tag war ICH der Mutigste von allen und gewann!","Come dice Monsieur Chapon… Audentes fortuna iuvat! Quel giorno osai, ed ebbi fortuna!",ムッシュ・カポンの言うとおり  “幸運は勇者を<br/>好む”  よって  あの日最も勇敢であった<br/>私が勝利を収めたんだ！,"무슈 샤퐁의 말처럼, 행운이 용기 있는 자의 편을 들었지! 그날 난 누구보다도 용감했고 결국 승리를 쟁취했다네!",Jak mówi pan Ptaszek: Audentes Fortuna Iuvat! Tamtego dnia byłem najdzielniejszy i przyniosłem zwycięstwo!,"Como diz Monsieur Chapon, audentes fortuna iuvat! Naquele dia, fui o mais corajoso de todos e venci!","Как говорит Monsieur Пташек, Audentes Fortuna Iuvat! Я быль храбрейшим на поле боя и принес нам победу!",Tal y como indica Monsieur Capon: Audentes fortuna iuvat. Ese día fui el más valiente de todos y vencí.,"Aynı Mösyö Chapon'un dediği gibi, Audentes Fortuna Iuvat! O gün içlerindeki en cesur bendim ve günü kurtardım!","Як каже мсьє Птачек, Audentes Fortuna Iuvat! Того дня я був найхоробрішим з усіх і переміг!","Như Monsieur Capon đã nói, ""Audentes Fortuna Iuvat"". Vì vậy, người dũng cảm nhất ngày hôm đó là ta đã giành chiến thắng!"
o_zi_mistr_fab_mein_gott__hrF0,"!P Just heard? Mein Gott, you can't overlook something like that!",只是听过？Mein Gott（我的上帝），你可不能忽视那个程度的东西！,只是聽過？Mein Gott（我的天啊），那座教堂那麼壯觀欸！,"Jenom zaslech? Mein Gott, něco takovýho nemůžeš přehlídnout!","Just heard? Mein Gott, you can't overlook something like that!","Entendu seulement ? Mein Gott, comment pourrait-on négliger une chose pareille ?","Nur gehört? Mein Gott, so ein Bauwerk kann man doch nicht übersehen!","Solo sentito dire? Mein Gott, non si può non sapere una cosa del genere!",聞いただけ？  ふざけるな  あれを見過ごすなんて<br/>できるはずがない！,"듣긴 했다고? Mein Gott, 그런 건 그냥 무심코 넘어갈 문제가 아니야!","Obiło o uszy? Mein Gott, czegoś takiego nie można przeoczyć!","Só ouviu? Mein Gott, não dá para não ver uma coisa daquelas!","Что-то слышайт? Mein Gott, такой как можно пропустить?!","¿Solo «algo»? ¡Mein Gott, es imposible no fijarse en ella!","Sadece duydun mu? Mein Gott, böyle bir şeyi görmeden edemezsin!","Тільки чув? Mein Gott, та як можна щось таке прогледіти?!","Chỉ mới nghe thôi à? Mein Gott, chuyện như thế sao mà không chú ý cho được!"
se_s_samuel_ale_spravedln_JRWm,!P Justice was done! Baruch Hashem!,总算替天行道了！Borekh ha-shem（赞美上帝）！,正義得到伸張了！Baruch hashem（謝天謝地）！,Spravedlnost si ho našla! Borech ha-šem!,Justice was done! Borekh ha-shem!,Justice a été rendue ! Borekh ha-shem !,Die Gerechtigkeit hat gesiegt! Borekh ha-shem!,Giustizia è fatta. Baruch hashem!,正義は果たされた！  神に感謝だな！,마땅한 벌을 받은 거야! Borekh ha-shem!,Sprawiedliwość się dokonała! Baruch haszem!,A justiça foi feita! Borekh ha-shem!,Правосудие свершилось. Borekh ha-shem!,¡Se ha hecho justicia! ¡Borekh ha-shem!,Adalet yerini buldu! Borekh ha-shem!,Справедливість відновлено! Borekh ha-shem!,Công lý đã được thực thi! Borekh ha-shem!
stre_strelnice_ja_to_tref_Bu3e,,Já to trefil! Já to vážně trefil!,Já to trefil! Já to vážně trefil!,Já to trefil! Já to vážně trefil!,Já to trefil! Já to vážně trefil!,Já to trefil! Já to vážně trefil!,Já to trefil! Já to vážně trefil!,Já to trefil! Já to vážně trefil!,Já to trefil! Já to vážně trefil!,Já to trefil! Já to vážně trefil!,Já to trefil! Já to vážně trefil!,Já to trefil! Já to vážně trefil!,### FATAL ERROR: RESPONSE NOT TRANSLATED ###,Já to trefil! Já to vážně trefil!,Já to trefil! Já to vážně trefil!,Já to trefil! Já to vážně trefil!,Já to trefil! Já to vážně trefil!
diva_divak_bar_ja_vedel_p_WN5x,,Já věděl proč na tebe vsadit.,Já věděl proč na tebe vsadit.,Já věděl proč na tebe vsadit.,Já věděl proč na tebe vsadit.,Já věděl proč na tebe vsadit.,Já věděl proč na tebe vsadit.,Já věděl proč na tebe vsadit.,Já věděl proč na tebe vsadit.,Já věděl proč na tebe vsadit.,Já věděl proč na tebe vsadit.,Já věděl proč na tebe vsadit.,### FATAL ERROR: RESPONSE NOT TRANSLATED ###,Já věděl proč na tebe vsadit.,Já věděl proč na tebe vsadit.,Já věděl proč na tebe vsadit.,Já věděl proč na tebe vsadit.
reak_kuman_kom_dobry_boj__w0YE,"Jó csata volt, Isten a tanúm!","Jó csata volt, Isten a tanúm!","Jó csata volt, Isten a tanúm!","Jó csata volt, Isten a tanúm!","Jó csata volt, Isten a tanúm!","Jó csata volt, Isten a tanúm!","Jó csata volt, Isten a tanúm!","Jó csata volt, Isten a tanúm!","Jó csata volt, Isten a tanúm!","Jó csata volt, Isten a tanúm!","Jó csata volt, Isten a tanúm!","Jó csata volt, Isten a tanúm!","Jó csata volt, Isten a tanúm!","Jó csata volt, Isten a tanúm!","Jó csata volt, Isten a tanúm!","Jó csata volt, Isten a tanúm!","Jó csata volt, Isten a tanúm!"
assa_npc_vidi__hodnej_hod_rjV8,Good boy! Good boy! You don't want to do that!,Jó fiú. jó fiú. Nem akarsz bántani.,Jó fiú. jó fiú. Nem akarsz bántani.,Jó fiú. jó fiú. Nem akarsz bántani.,Jó fiú. jó fiú. Nem akarsz bántani.,Jó fiú. jó fiú. Nem akarsz bántani.,Jó fiú. jó fiú. Nem akarsz bántani.,Jó fiú. jó fiú. Nem akarsz bántani.,Jó fiú. jó fiú. Nem akarsz bántani.,Jó fiú. jó fiú. Nem akarsz bántani.,Jó fiú. jó fiú. Nem akarsz bántani.,Jó fiú. jó fiú. Nem akarsz bántani.,Jó fiú. jó fiú. Nem akarsz bántani.,Jó fiú. jó fiú. Nem akarsz bántani.,Jó fiú. jó fiú. Nem akarsz bántani.,Jó fiú. jó fiú. Nem akarsz bántani.,Jó fiú. jó fiú. Nem akarsz bántani.
pozd_pozdrav_k_jo_napot_XP4N,!P Jó napot!,Jó napot!,Jó napot!,Jó napot!,Jó napot!,Jó napot !,Jó napot!,Jó napot!,!P Jó napot!,Jó napot!,Jó napot!,Jó napot!,Jó napot!,¡Jó napot!,Jó napot!,Jó napot!,Jó napot!
npc__npc_vidi__dobre_mu_t_RXoB,"Serves him right, the bastard.","Jó neki, te szemétláda.","Jó neki, te szemétláda.","Jó neki, te szemétláda.","Jó neki, te szemétláda.","Jó neki, te szemétláda.","Jó neki, te szemétláda.","Jó neki, te szemétláda.","Jó neki, te szemétláda.","Jó neki, te szemétláda.","Jó neki, te szemétláda.","Jó neki, te szemétláda.","Jó neki, te szemétláda.","Jó neki, te szemétláda.","Jó neki, te szemétláda.","Jó neki, te szemétláda.","Jó neki, te szemétláda."
poly_vasko_jo_izt_kivan_n_wEye,Jó ízt kíván nekünk.,Jó évágyot kívánot nekünk.（他说祝我们用餐愉快。）,Jó évágyot kívánot nekünk.（他說祝我們用餐愉快。）,Jó ték vágyat kíván ét nekünk.,Jó évágyot kívánot nekünk.,Jó évágyat kíván nekünk.,Jó évágyot kívánot nekünk.,Jó évágyot kívánot nekünk.,（ごゆっくりだとさ）,Jó évágyot kívánot nekünk.,Jó évágyot kívánot nekünk.,Jó évágyot kívánot nekünk.,Jó évágyot kívánot nekünk.,Jó évágyot kívánot nekünk.,Jó évágyot kívánot nekünk.,Jó évágyot kívánot nekünk.,Jó évágyot kívánot nekünk.
svep_svepomoc__jo_tunj_el_gX2g,Jó! Tűnj el most!,Jó! Tunj el most!,Jó! Tunj el most!（好！快滾！）,Jó! Tűnj el most!,Jó! Tűnj el most!,Jó! Tűnj el most!,Jó! Tűnj el most!,Jó! Tűnj el most!,Jó! Tűnj el most!,Jó! Tűnj el most!,Jó! Tűnj el most!,Jó! Tűnj el most!,Jó! Tűnj el most!,¡Jó! ¡Tűnj el most!,Jó! Tűnj el most!,Jó! Tűnj el most!,Jó! Tűnj el most!
rozl_rozloucen_jo_kesobb__9x3h,"!P Jó, később találkozunk","Jó, késobb találkozunk","Jó, késobb találkozunk","Jó, később találkozunk.","Jó, később találkozunk.","Jó, később találkozunk.","Jó, később találkozunk.","Jó, később találkozunk","!P Jó, később találkozunk","Jó, később találkozunk","Jó, később találkozunk","Jó, később találkozunk.","Jó, később találkozunk.","Jó, később találkozunk.","Jó, később találkozunk","Jó, később találkozunk.","Jó, később találkozunk."
spol_kuman_vid_ses_dobrej_jLkl,Jól vagy?!,Jól vagy?!,Jól vagy?!,Jól vagy?!,Jól vagy?!,Jól vagy?!,Jól vagy?!,Jól vagy?!,Jól vagy?!,Jól vagy?!,Jól vagy?!,Jól vagy?!,Jól vagy?!,Jól vagy?!,Jól vagy?!,Jól vagy?!,Jól vagy?!
utik_utikam_z__dobre_vzda_vkAx,Jól van! Megadom magam!,Jól van! Megadom magam!,Jól van! Megadom magam!,Jól van! Megadom magam!,Jól van! Megadom magam!,Jól van! Megadom magam!,Jól van! Megadom magam!,Jól van! Megadom magam!,Jól van! Megadom magam!,Jól van! Megadom magam!,Jól van! Megadom magam!,Jól van! Megadom magam!,Jól van! Megadom magam!,Jól van! Megadom magam!,Jól van! Megadom magam!,Jól van! Megadom magam!,Jól van! Megadom magam!
npc__npc_ma_do_tak_a_uz_m_nGI7,"Alright, I've had enough of that racket!","Jól van, elegem van ebből a lármából!","Jól van, elegem van ebből a lármából!","Jól van, elegem van ebből a lármából!","Jól van, elegem van ebből a lármából!","Jól van, elegem van ebből a lármából!","Jól van, elegem van ebből a lármából!","Jól van, elegem van ebből a lármából!","Jól van, elegem van ebből a lármából!","Jól van, elegem van ebből a lármából!","Jól van, elegem van ebből a lármából!","Jól van, elegem van ebből a lármából!","Jól van, elegem van ebből a lármából!","Jól van, elegem van ebből a lármából!","Jól van, elegem van ebből a lármából!","Jól van, elegem van ebből a lármából!","Jól van, elegem van ebből a lármából!"
dial_kuman_vyz_jol_XbSh,Jól.,Jól van.（好吧。）,Jól van.（好吧。）,Jól van.,Jól van.,Jól van.,Jól van.,Jól van.,（いいだろう）,Jól van.,Jól van.,Jól van.,Jól van.,Jól van.,Jól van.,Jól van.,Jól van.
npc__npc_ztrat__zatracene_ruqK,… Fucking bastard!,K-handuno kar.,可惡的王八蛋！,Khanduno kar!,K-handuno kar.,K-handuno kar.,K-handuno kar.,K-handuno kar.,（クソ野郎が！）,K-handuno kar.,K-handuno kar.,K-handuno kar.,K-handuno kar.,K-handuno kar.,K-handuno kar.,K-handuno kar.,K-handuno kar.
flav_musa_z_ma_jen_at_nes_Mmz0,Ka segin n'i nyuman ye.,Ka segin n'i nyuman ye.（愿你平安归来。）,Ka segin n'i nyuman ye.（願你平安歸來。）,Ka segin n'i nyuman ye.,Ka segin n'i nyuman ye.,Ka segin n'i nyuman ye.,Ka segin n’i nyuman ye.,Ka segin n'i nyuman ye.,Ka  segin  n'i  nyuman  ye.,Ka segin n'i nyuman ye.,Ka segin n'i nyuman ye.,Ka segin n'i nyuman ye.,Ka segin n'i nyuman ye.,Ka segin n'i nyuman ye.,Ka segin n'i nyuman ye.,Ka segin n'i nyuman ye.,Ka segin n'i nyuman ye.
mari_marika_kaj_tuke_o_ka_1BzX,Kai tuke o kar te kirnyol!,Kai tuke o kar te kirnyol!,Kai tuke o kar te kirnyol！,Kaj tuke o kar te kirňol!,Kai tuke o kar te kirnyol!,Kai tuke o kar te kirnyol!,Kai tuke o kar te kirnyol!,Kai tuke o kar te kirnyol!,（このろくでなし！）,Kai tuke o kar te kirnyol!,Kaj tuke o kar te kirniol!,Kai tuke o kar te kirnyol!,Kai tuke o kar te kirnyol!,¡Kai tuke o kar te kirnyol!,Kai tuke o kar te kirnyol!,Kai tuke o kar te kirnyol!,Kai tuke o kar te kirnyol!
o_zi_henry_kaj_tumaro_bar_hcY4,!T Kai tumaro baro balo?,Kai tumaro baro balo?,Kai tumaro baro balo?（你那隻大肥豬呢？）,Kaj tumaro baro balo?,Kai tumaro baro balo?,Kai tumaro baro balo ?,Kai tumaro baro balo?,Kai tumaro baro balo?,Kai tumaro baro balo?,Kai tumaro baro balo?,Kaj tumaro baro balo?,Kai tumaro baro balo?,Kai tumaro baro balo?,¿Kai tumaro baro balo?,Kai tumaro baro balo?,Кай тумаро баро бало?,Kai tumaro baro balo?
pozd_sousedsky_lacho_dives_M13V,"!T Kay djas, more? Sar sal?","Kaj djas, more? Sar sal?","Kaj djas, more? Sar sal?","Kaj džas, more? Sar sal?","Kaj djas, more? Sar sal?","Kaj djas, more ? Sar sal ?","Kaj djas, more? Sar sal?","Kaj djas, more? Sar sal?","Kaj djas, more? Sar sal?","Kaj djas, more? Sar sal?","Kaj dżas, more? Sar sal?","Kaj djas, more? Sar sal?","Kaj djas, more? Sar sal?","¿Kaj djas, more? ¿Sar sal?","Kaj djas, more? Sar sal?","Kaj djas, more? Sar sal?","Kaj djas, more? Sar sal?"
gree_pozdrav_m_ci_kaj_dzas_5o0x,,Kaj džas?,Kaj džas?,Kaj džas?,Kaj džas?,Kaj džas?,/[Kaj džas? ]\,Kaj džas?,Kaj džas?,Kaj džas?,Kaj džas?,Kaj džas?,Kaj džas?,Kaj džas?,Kaj džas?,Kaj džas?,Kaj džas?
henr_kurtizana_kaj_tuke_o_CzBV,!T Kaj tuke o kar te kirňol!,Kaj tuke o kar te kirnol（你要做什么）！,Kaj tuke o kar te kirnol!（祝你的老二爛光光！）,Kaj tuke o kar te kirňol!,Kaj tuke o kar te kirňol!,Kaj tuke o kar te kirňol!,Kaj tuke o kar te kirňol!,Kaj tuke o kar te kirňol!,Kaj tuke o kar te kirňol!,Kaj tuke o kar te kirňol!,Kaj tuke o kar te kirňol!,Kaj tuke o kar te kirňol!,Kaj tuke o kar te kirňol!,¡Kaj tuke o kar te kirňol!,Kaj tuke o kar te kirňol!,Kaj tuke o kar te kirňol!,Kaj tuke o kar te kirňol!
turn_kutnohors_kam_cumis_Tw5S,,Kam čumíš?!,Kam čumíš?!,Kam čumíš?!,Kam čumíš?!,Kam čumíš?!,Kam čumíš?!,Kam čumíš?!,Kam čumíš?!,Kam čumíš?!,Kam čumíš?!,Kam čumíš?!,Kam čumíš?!,Kam čumíš?!,Kam čumíš?!,Kam čumíš?!,Kam čumíš?!
npc__npc_rozpo_mam_hazet__MB2L,"!T Kames man chivel pale pre tute, na?","Kames man chivel pale pre tute, na?","Kames man chivel pale pre tute, na?","Kames te čhivav pale pre tute, na?","Kames man chivel pale pre tute, na?","Kames man chivel pale pre tute, na?","Kames man chivel pale pre tute, na?","Kames man chivel pale pre tute, na?","Kames man chivel pale pre tute, na?","Kames man chivel pale pre tute, na?","Kames man cziwel pale pre tute, na?","Kames man chivel pale pre tute, na?","Kames man chivel pale pre tute, na?","¿Kames man chivel pale pre tute, na?","Kames man chivel pale pre tute, na?","Kames man chivel pale pre tute, na?","Kames man chivel pale pre tute, na?"
odmi_npc_odmit__kames_var_NXsS,"!T Kames vareso, bangho kar?","Kames vareso, bangho kar?","Kames vareso, bangho kar?","Kames vareso, tu bango kar?","Kames vareso, bangho kar?","Kames vareso, bangho kar ?","Kames vareso, bangho kar?","Kames vareso, bangho kar?","Kames vareso, bangho kar?","Kames vareso, bangho kar?","Kames wareso, bangho kar?","Kames vareso, bangho kar?","Kames vareso, bangho kar?","¿Kames vareso, bangho kar?","Kames vareso, bangho kar?","Kames vareso, bangho kar?","Kames vareso, bangho kar?"
gree_pozdrav_m_kames_vare_8F0y,"!T Kames vareso, dilino?!","Kames vareso, dilino?!","Kames vareso, dilino?!","Kames vareso, dilino?!","Kames vareso, dilino?!","Kames vareso, dilino ?!","Kames vareso, dilino?!","Kames vareso, dilino?!","Kames vareso, dilino?!","Kames vareso, dilino?!","Kames wareso, dilino?!","Kames vareso, dilino?!","Kames vareso, dilino?!","¡¿Kames vareso, dilino?!","Kames vareso, dilino?!","Kames vareso, dilino?!","Kames vareso, dilino?!"
gree_pozdrav_m_eh_na_kame_aJ09,"Kames vareso, gadjo?","Kames vareso, gadjo?","Kames vareso, gadjo?","Kames vareso, gadžo?","Kames vareso, gadjo?","Oy… Kames vareso, gadjo?","Kames vareso, gadjo?","Kames vareso, gadjo?","Kames vareso, gadjo?","Kames vareso, gadjo?","Kames vareso, gadjo?","Kames vareso, gadjo?","Kames vareso, gadjo?","¿Kames vareso, gadjo?","Kames vareso, gadjo?","Kames vareso, gadjo?","Kames vareso, gadjo?"
gree_pozdrav_m_kames_vare_KM8q,"!T Kames vareso, goro?","Kames vareso, goro?","Kames vareso, goro?","Kames vareso, goro?","Kames vareso, goro?","Kames vareso, goro ?","Kames vareso, goro?","Kames vareso, goro?","Kames vareso, goro?","Kames vareso, goro?","Kames wareso, goro?","Kames vareso, goro?","Kames vareso, goro?","¿Kames vareso, goro?","Kames vareso, goro?","Kames vareso, goro?","Kames vareso, goro?"
gree_pozdrav_m_kames_vare_CKEw,"!T Kames vareso, Henry?","Kames vareso, Henry?","Kames vareso, Henry?","Kames vareso, Jindřichu?","Kames vareso, Henry?","Kames vareso, Henry ?","Kames vareso, Henry?","Kames vareso, Henry?","Kames vareso, Henry?","Kames vareso, 헨리?","Kames wareso, Henryku?","Kames vareso, Henry?","Kames vareso, Индро?","¿Kames vareso, Henry?","Kames vareso, Henry?","Kames vareso, Henry?","Kames vareso, Henry?"
gree_pozdrav_m_kames_vare_GMEq,!T Kames vareso?,Kames vareso?,Kames vareso?,Kames vareso?,Kames vareso?,Kames vareso ?,Kames vareso?,Kames vareso?,Kames vareso?,Kames vareso?,Kames wareso?,Kames vareso?,Kames vareso?,¿Kames vareso?,Kames vareso?,Kames vareso?,Kames vareso?
gree_pozdrav_m_andre_bul__Pl2o,"!T Kames vareso? Andre bul te djas, dilino!","Kames vareso? Andre bul te djas, dilino!","Kames vareso? Andre bul te djas, dilino!","Kames vareso? Andre bul te džas, dilino!","Kames vareso? Andre bul te djas, dilino!","Kames vareso ? Andre bul te djas, dilino !","Kames vareso? Andre bul te djas, dilino!","Kames vareso? Andre bul te djas, dilino!","Kames vareso? Andre bul te djas, dilino!","Kames vareso? Andre bul te djas, dilino!","Kames wareso? Andre bul te dżas, dilino!","Kames vareso? Andre bul te djas, dilino!","Kames vareso? Andre bul te djas, dilino!","¿Kames vareso? ¡Andre bul te djas, dilino!","Kames vareso? Andre bul te djas, dilino!","Kames vareso? Andre bul te djas, dilino!","Kames vareso? Andre bul te djas, dilino!"
gree_pozdrav_z_kames_vare_94Zj,,"Kames vareso? Andre bul te džas, dilino!","Kames vareso? Andre bul te džas, dilino!","Kames vareso? Andre bul te džas, dilino!","Kames vareso? Andre bul te džas, dilino!","Kames vareso? Andre bul te džas, dilino!","Kames vareso? Andre bul te džas, dilino!","Kames vareso? Andre bul te džas, dilino!","Kames vareso? Andre bul te džas, dilino!","Kames vareso? Andre bul te džas, dilino!","Kames vareso? Andre bul te džas, dilino!","Kames vareso? Andre bul te džas, dilino!","Kames vareso? Andre bul te džas, dilino!","Kames vareso? Andre bul te džas, dilino!","Kames vareso? Andre bul te džas, dilino!","Kames vareso? Andre bul te džas, dilino!","Kames vareso? Andre bul te džas, dilino!"
zaca_zacatek_s_bojuj_KpFv,!P Kampfen!,Kampfen!,Kampfen!,Kampfen!,Kampfen!,Kampfen !,Kämpfen!,Kampfen!,Kampfen!,Kampfen!,Kampfen!,Kampfen!,Kampfen!,¡Kampfen!,Kampfen!,Kampfen!,Kampfen!
npc__zena_samo_was_kannst_ZZiR,!P Was kannst du tun...,Kann man nichts machen ...,Kann man nichts machen...（我還能怎麼辦呢……）,Kann man nichts machen...,Kann man nichts machen ...,Kann man nichts machen…,Kann man nichts machen ...,Kann man nichts machen…,Kann man nichts machen...,Kann man nichts machen...,Kann man nichts machen...,Kann man nichts machen…,Kann man nichts machen...,Kann man nichts machen …,Kann man nichts machen ...,Kann man nichts machen…,Kann man nichts machen... (Tôi còn biết làm sao nữa...)
